sofa
sofa_bed
loveseat
futon
chaise_longue
armchair
chair
rocking_chair
recliner
folding_chair
deck_chair
highchair
stool
step_stool
footstool
ottoman
bench
bed
bunk_bed
crib
mattress
table
dining_table
coffee_table
kitchen_table
desk
bookcase
cupboard
wardrobe
dresser
drawer
file_cabinet
cabinet
armoire
locker
shelf
piano
headboard
refrigerator
microwave_oven
oven
stove
dishwasher
automatic_washer
washer_dryer
water_heater
air_conditioner
heater
fan
vacuum_cleaner
sewing_machine
toaster
toaster_oven
blender
coffee_maker
food_processor
kettle
teakettle
television_set
tv
computer_monitor
laptop_computer
printer
speaker_(stero_equipment)
stereo_(sound_system)
subwoofer
telephone
cellular_telephone
lamp
table_lamp
chandelier
lantern
mirror
painting
poster
sculpture
figurine
clock
wall_clock
vase
flowerpot
plant
tree
pillow
cushion
blanket
bedspread
quilt
curtain
bathtub
toilet
sink
kitchen_sink
washbasin
fireplace
